,open,high,low,close,volume
0,98900,99100,98500,98600,143981
1,98500,99500,98300,99100,62150
2,99000,99200,98700,99000,25639
3,99000,99200,98800,99000,13819
4,99100,99100,98700,98800,22914
5,98800,98800,98400,98400,24324
6,98500,98700,98400,98600,30011
7,98600,98800,98500,98700,15583
8,98600,98900,98600,98700,31888
9,98700,99000,98600,98900,22924
10,98800,98900,98700,98800,11913
11,98700,99000,98700,98900,24333
12,98900,99100,98800,99100,12413
13,99000,99100,98900,99000,9677
14,99000,99000,98800,98900,6725
15,98900,98900,98800,98800,9201
16,98900,98900,98800,98800,5778
17,98800,98900,98600,98800,26790
18,98700,98800,98600,98700,7497
19,98700,98700,98500,98500,25656
20,98600,98700,98400,98600,21753
21,98600,98700,98500,98700,16627
22,98700,98800,98700,98700,7685
23,98700,99000,98700,98900,19345
24,99000,99000,98800,98900,9123
25,98800,99000,98800,99000,5208
26,98900,99200,98900,99200,21964
27,99200,99300,99100,99300,10110
28,99300,99300,99100,99300,7922
29,99300,99300,99100,99200,13589
30,99200,99200,99000,99100,4123
31,99100,99100,99000,99100,9440
32,99000,99100,99000,99000,4564
33,99100,99100,99000,99100,5561
34,99100,99100,98700,98800,33826
35,98700,98900,98600,98900,15556
36,98800,98900,98700,98700,13564
37,98700,98900,98600,98900,7390
38,98800,98900,98600,98700,8804
39,98600,98700,98600,98600,5450
40,98600,98700,98500,98600,16850
41,98600,98700,98500,98500,8477
42,98500,98600,98400,98400,10311
43,98500,98500,98400,98400,1908
44,98400,98500,98100,98200,43057
45,98200,98300,98100,98200,13508
46,98200,98300,98100,98300,12984
47,98300,98300,98200,98200,3237
48,98200,98300,98100,98100,7848
49,98200,98200,98100,98100,3363
50,98200,98300,98100,98200,9978
51,98200,98500,98200,98400,12371
52,98300,98500,98200,98300,10963
53,98300,98300,98200,98200,14541
54,98200,98300,98100,98200,6444
55,98100,98200,98100,98200,5772
56,98200,98200,98100,98100,3253
57,98200,98200,98100,98100,23144
58,98100,98200,98100,98100,3601
59,98200,98200,98000,98100,11608
60,98100,98100,98000,98100,10316
61,98100,98100,98000,98100,8042
62,98000,98100,97800,97900,39685
63,97900,98000,97800,97900,12350
64,98000,98000,97800,97900,16265
65,97900,97900,97700,97800,19868
66,97900,97900,97600,97700,15025
67,97600,97700,97300,97300,32723
68,97300,97500,97300,97400,30079
69,97400,97500,97300,97400,33671
70,97400,97500,97300,97400,12196
71,97400,97800,97300,97800,23320
72,97800,97800,97400,97600,45913
73,97600,97700,97500,97600,10364
